timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
2025-11-08T13:50:31.286388,TELEMETRY,3113.0,0.0,0.0,-23.7,14.1,173.1,151.4,385.3,77.8,85.8,41.7,22.9,12.0,13.2,1.020508,-0.047363,0.105469,32.45245,28.30906,28.74325,28.53236,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.325718,TELEMETRY,3113.0,0.0,0.0,-23.7,14.1,173.1,151.4,384.8,77.7,85.8,43.2,22.6,12.0,13.2,1.164063,0.086426,0.062012,32.40283,28.3959,28.71844,28.58198,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.348016,TELEMETRY,3113.0,0.0,0.0,-23.7,14.1,173.1,151.4,384.9,77.7,85.8,41.1,22.5,12.0,13.2,0.983398,-0.085938,0.054199,32.39043,28.42071,28.71844,28.50755,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.348757,TELEMETRY,3133.0,0.0,0.0,-23.3,14.1,173.1,151.4,385.1,77.9,85.8,43.3,22.9,12.0,13.2,1.13623,0.048828,-0.035645,32.11751,28.54476,28.8549,28.644,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.396126,TELEMETRY,3129.0,0.0,0.0,-23.3,14.1,173.4,151.4,384.6,77.9,85.8,43.3,23.4,12.0,13.2,1.158691,-0.11377,-0.004395,32.34081,28.42071,28.73084,28.58198,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.425897,TELEMETRY,3129.0,0.0,0.0,-23.7,14.1,173.5,151.4,384.9,77.9,85.8,40.8,22.7,12.1,13.2,0.770508,-0.020996,0.105957,32.35321,28.38349,28.79287,28.53236,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.477427,TELEMETRY,3133.0,0.0,0.0,-23.7,14.1,173.5,151.4,384.9,77.7,85.8,43.5,23.4,11.9,13.2,0.895996,0.032227,-0.009766,32.44005,28.48273,28.47033,28.56957,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.499584,TELEMETRY,3119.0,0.0,0.0,-23.3,14.1,173.6,151.4,384.7,77.7,85.8,42.7,22.9,12.1,13.2,1.1875,-0.125,0.039551,32.44005,28.04855,28.80527,28.48273,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.679447,TELEMETRY,3119.0,0.0,0.0,-23.3,14.1,173.6,151.4,385.2,77.6,85.8,43.3,23.0,12.1,13.2,0.898438,-0.049316,-0.092285,32.40283,28.43311,28.65641,28.54476,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:31.706709,TELEMETRY,3096.0,0.0,0.0,-23.3,14.1,173.6,151.4,385.5,77.7,85.8,43.5,22.6,12.0,13.2,0.952637,-0.021973,0.07373,32.34081,28.37109,28.69363,28.51995,0.0,0.0,nan,nan,0.0
