timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed
2025-11-08T13:40:57.442847,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.43311,27.68879,28.13538,nan,nan,nan,nan
2025-11-08T13:40:57.494465,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.44552,27.65158,28.12298,nan,nan,nan,nan
2025-11-08T13:40:57.544381,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.38349,27.7012,28.07336,nan,nan,nan,nan
2025-11-08T13:40:57.598585,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.38349,27.7012,28.13538,nan,nan,nan,nan
2025-11-08T13:40:57.644748,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.42071,27.7136,28.11057,nan,nan,nan,nan
2025-11-08T13:40:57.706096,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.44552,27.68879,28.09817,nan,nan,nan,nan
2025-11-08T13:40:57.749967,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.44552,27.7012,28.09817,nan,nan,nan,nan
2025-11-08T13:40:57.797264,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.37109,27.7012,28.12298,nan,nan,nan,nan
2025-11-08T13:40:57.849213,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.90662,28.47033,27.7012,28.09817,nan,nan,nan,nan
2025-11-08T13:40:57.892387,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.47033,27.68879,28.11057,nan,nan,nan,nan
2025-11-08T13:40:57.970302,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.88181,28.44552,27.7012,28.08576,nan,nan,nan,nan
2025-11-08T13:40:57.999094,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.91902,28.44552,27.7012,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.073980,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.43311,27.7136,28.11057,nan,nan,nan,nan
2025-11-08T13:40:58.099154,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.88181,28.44552,27.7136,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.144287,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.44552,27.67639,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.204531,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.44552,27.7136,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.263475,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.91902,28.37109,27.67639,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.301300,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.44552,27.72601,28.11057,nan,nan,nan,nan
2025-11-08T13:40:58.348759,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.42071,27.7012,28.13538,nan,nan,nan,nan
2025-11-08T13:40:58.409776,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.84459,28.42071,27.7136,28.09817,nan,nan,nan,nan
2025-11-08T13:40:58.449688,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.90662,28.37109,27.7012,28.07336,nan,nan,nan,nan
2025-11-08T13:40:58.499285,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.44552,27.67639,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.542950,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.88181,28.42071,27.72601,28.09817,nan,nan,nan,nan
2025-11-08T13:40:58.609731,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.857,28.42071,27.7012,28.12298,nan,nan,nan,nan
2025-11-08T13:40:58.652247,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.857,28.44552,27.7012,28.09817,nan,nan,nan,nan
2025-11-08T13:40:58.692181,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.42071,27.68879,28.13538,nan,nan,nan,nan
2025-11-08T13:40:58.770037,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.89421,28.42071,27.72601,28.08576,nan,nan,nan,nan
2025-11-08T13:40:58.801403,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.43311,27.7012,28.09817,nan,nan,nan,nan
2025-11-08T13:40:58.870000,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.90662,28.44552,27.67639,28.11057,nan,nan,nan,nan
2025-11-08T13:40:58.899424,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.94383,28.44552,27.77563,28.08576,nan,nan,nan,nan
2025-11-08T13:40:58.946597,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.44552,27.7136,28.09817,nan,nan,nan,nan
2025-11-08T13:40:58.998329,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.44552,27.68879,28.08576,nan,nan,nan,nan
2025-11-08T13:40:59.060628,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.47033,27.7012,28.07336,nan,nan,nan,nan
2025-11-08T13:40:59.102661,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.84459,28.47033,27.7136,28.11057,nan,nan,nan,nan
2025-11-08T13:40:59.146191,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.8694,28.37109,27.7136,28.11057,nan,nan,nan,nan
2025-11-08T13:40:59.214737,TELEMETRY,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.90662,28.42071,27.7012,28.08576,nan,nan,nan,nan
