timestamp,source,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
1762640429142.905,GPS,33.008,-84.188,225.54,2.45,9
1762640429275.048,GPS,33.008,-84.188,225.54,2.45,8
1.76264E+12,GPS,33.008,-84.188,255.95,1.99,8
1762640430263.323,GPS,33.008,-84.188,255.95,1.99,9
1762640431143.155,GPS,33.008,-84.188,255.95,1.76,9
1.76264E+12,GPS,33.008,-84.188,255.95,1.76,7
1762640432138.706,GPS,33.008,-84.188,255.95,1.56,7
1762640432255.151,GPS,33.008,-84.188,255.95,1.56,8
1762640433151.254,GPS,33.008,-84.188,255.95,1.54,8
1762640433253.583,GPS,33.008,-84.188,255.95,1.54,8
1762640434138.709,GPS,33.008,-84.188,255.95,1.56,8
1762640434256.406,GPS,33.008,-84.188,255.95,1.56,8
1762640435143.955,GPS,33.008,-84.188,255.95,1.97,8
1762640435264.394,GPS,33.008,-84.188,255.95,1.97,9
1762640436137.385,GPS,33.008,-84.188,255.95,1.87,9
1762640436253.525,GPS,33.008,-84.188,255.95,1.87,8
1762640437147.379,GPS,33.008,-84.188,284.37,2.14,8
1762640437268.164,GPS,33.008,-84.188,284.37,2.14,9
1762640438144.597,GPS,33.008,-84.188,285.71,2.27,9
1762640438267.477,GPS,33.008,-84.188,285.71,2.27,8
1762640439150.207,GPS,33.008,-84.188,290.21,2.43,8
1762640439279.851,GPS,33.008,-84.188,290.21,2.43,7
1762640440157.416,GPS,33.008,-84.188,296.81,2.41,7
1.76264E+12,GPS,33.008,-84.188,296.81,2.41,6
1762640441135.776,GPS,33.008,-84.188,301.05,3.01,6
1.76264E+12,GPS,33.008,-84.188,301.05,3.01,6
1.76264E+12,GPS,33.008,-84.188,302.4,3.13,6
1762640442267.352,GPS,33.008,-84.188,302.4,3.13,6
1762640443143.754,GPS,33.008,-84.188,301.27,3.34,6
1762640443264.302,GPS,33.008,-84.188,301.27,3.34,7
1762640444145.754,GPS,33.008,-84.188,302.29,3.3,7
1762640444268.219,GPS,33.008,-84.188,302.29,3.3,8
1762640445146.723,GPS,33.008,-84.188,303.37,2.84,8
1.76264E+12,GPS,33.008,-84.188,303.37,2.84,8
1762640446144.334,GPS,33.008,-84.188,305.57,3.06,8
1762640446264.655,GPS,33.008,-84.188,305.57,3.06,8
1762640447146.925,GPS,33.008,-84.188,305.58,3.25,8
1762640447268.847,GPS,33.008,-84.188,305.58,3.25,9
1762640448148.701,GPS,33.008,-84.188,310.19,2.84,9
1762640448266.607,GPS,33.008,-84.188,310.19,2.84,10
1762640449148.945,GPS,33.008,-84.188,314.8,2.43,10
1762640449269.942,GPS,33.008,-84.188,314.8,2.43,10
1.76264E+12,GPS,33.008,-84.188,318.02,1.94,10
1762640450279.983,GPS,33.008,-84.188,318.02,1.94,8
1762640451147.296,GPS,33.008,-84.188,317.89,1.63,8
1762640451268.344,GPS,33.008,-84.188,317.89,1.63,8
1762640452138.554,GPS,33.008,-84.188,317.89,1.48,8
1.76264E+12,GPS,33.008,-84.188,317.89,1.48,9
1762640453140.319,GPS,33.008,-84.188,317.89,0.68,9
1762640453257.391,GPS,33.008,-84.188,317.89,0.68,9
1762640454140.912,GPS,33.008,-84.188,317.89,0.62,9
1762640454257.935,GPS,33.008,-84.188,317.89,0.62,9
1762640455150.449,GPS,33.008,-84.188,317.89,0.52,9
1762640455266.823,GPS,33.008,-84.188,317.89,0.52,9
1762640456143.397,GPS,33.008,-84.188,317.89,0.45,9
1762640456255.996,GPS,33.008,-84.188,317.89,0.45,9
1762640457137.008,GPS,33.008,-84.188,317.89,0.18,9
1762640457252.388,GPS,33.008,-84.188,317.89,0.18,8
1762640458136.833,GPS,33.008,-84.188,317.89,0.63,8
1.76264E+12,GPS,33.008,-84.188,317.89,0.63,8
1762640459137.652,GPS,33.008,-84.188,317.89,0.79,8
1762640459255.193,GPS,33.008,-84.188,317.89,0.79,7
1762640460149.907,GPS,33.008,-84.188,317.89,0.45,7
1762640460263.656,GPS,33.008,-84.188,317.89,0.45,8
1762640461138.916,GPS,33.008,-84.188,317.89,0.39,8
1762640461253.792,GPS,33.008,-84.188,317.89,0.39,9
1762640462139.198,GPS,33.008,-84.188,317.89,0.58,9
1762640462255.051,GPS,33.008,-84.188,317.89,0.58,7
1762640463149.197,GPS,33.008,-84.188,317.89,0.41,7
1.76264E+12,GPS,33.008,-84.188,317.89,0.41,7
1762640464137.304,GPS,33.008,-84.188,317.89,0.24,7
1762640464251.998,GPS,33.008,-84.188,317.89,0.24,6
1.76264E+12,GPS,33.008,-84.188,317.89,0.22,6
1762640465252.065,GPS,33.008,-84.188,317.89,0.22,6
1762640466137.744,GPS,33.008,-84.188,317.89,0.37,6
1762640466254.514,GPS,33.008,-84.188,317.89,0.37,7
1762640467136.577,GPS,33.008,-84.188,317.89,0.25,7
1762640467251.771,GPS,33.008,-84.188,317.89,0.25,7
1762640468139.594,GPS,33.008,-84.188,317.89,0.29,7
1762640468257.797,GPS,33.008,-84.188,317.89,0.29,7
1762640469155.175,GPS,33.008,-84.188,317.89,0.26,7
1762640469251.411,GPS,33.008,-84.188,317.89,0.26,6
1762640470137.894,GPS,33.008,-84.188,317.89,0.42,6
